34.322;-20.009;-50.695;0
34.323;-19.996;-50.697;0
34.324;-20.005;-50.699;0
34.324;-25.34;-46.729;0
34.325;-25.33;-46.725;0
34.327;-25.333;-46.726;0
34.326;-27.973;-40.614;0
34.325;-27.96;-40.612;0
34.328;-27.966;-40.618;0
34.324;-27.183;-33.996;0
34.322;-27.17;-33.998;0
34.323;-27.177;-33.999;0
34.322;-23.186;-28.672;0
34.319;-23.172;-28.675;0
34.32;-23.182;-28.677;0
34.318;-17.062;-26.067;0
34.316;-17.045;-26.07;0
34.315;-17.055;-26.07;0
34.319;-10.472;-26.872;0
34.316;-10.461;-26.878;0
34.314;-10.466;-26.876;0
34.316;-5.172;-30.858;0
34.313;-5.158;-30.868;0
34.312;-5.167;-30.866;0
34.315;-2.569;-36.952;0
34.314;-2.56;-36.961;0
34.314;-2.567;-36.956;0
34.316;-3.35;-43.526;0
34.315;-3.347;-43.536;0
34.316;-3.352;-43.527;0
34.318;-7.308;-48.839;0
34.318;-7.31;-48.847;0
34.32;-7.309;-48.835;0
34.32;-13.4;-51.467;0
34.32;-13.402;-51.472;0
34.323;-13.398;-51.461;0
